id,user_id,location_id,created_at
15  ,4,  1   ,2026-02-11 14:51:38
16  ,4,  131 ,2026-02-11 14:54:18
17  ,4,  53	,2026-02-11 14:54:23
18	,4,	135	,2026-02-11 14:54:41
19	,4,	117	,2026-02-11 14:54:48
21	,4,	109	,2026-02-11 15:07:46
26	,4,	66	,2026-02-11 15:20:00
27	,4,	212	,2026-02-11 15:20:09
28	,7,	11	,2026-02-17 10:25:54
29	,7,	27	,2026-02-17 10:26:00
30	,7,	28	,2026-02-17 10:26:06
31	,7,	33	,2026-02-17 10:46:31
33	,7,	39	,2026-02-17 10:46:35
34	,7,	40	,2026-02-17 10:46:38
35	,7,	37	,2026-02-17 10:46:40
36	,7,	308	,2026-02-17 10:46:45
37	,7,	292	,2026-02-17 10:46:48
38	,7,	270	,2026-02-17 10:46:51
39	,7,	226	,2026-02-17 10:46:54
40	,7,	202	,2026-02-17 10:46:57
41	,7,	190	,2026-02-17 10:47:00
42	,7,	186	,2026-02-17 10:47:03
43	,7,	177	,2026-02-17 10:47:06
44	,7,	144	,2026-02-17 10:47:09
45	,7,	45	,2026-02-17 10:47:12
46	,8,	7	,2026-02-17 11:05:41
47	,8,	69	,2026-02-17 11:05:49
48	,8,	88	,2026-02-17 11:05:51
49	,8,	98	,2026-02-17 11:05:54
50	,8,	138	,2026-02-17 11:05:57
51	,8,	178	,2026-02-17 11:06:03
52	,8,	280	,2026-02-17 11:06:06
53	,8,	192	,2026-02-17 11:06:08
54	,8,	25	,2026-02-17 11:06:20
55	,8,	115	,2026-02-17 11:06:25
56	,8,	116	,2026-02-17 11:06:30
57	,8,	117	,2026-02-17 11:06:33
58	,8,	118	,2026-02-17 11:06:38
59	,8,	119	,2026-02-17 11:06:42
60	,8,	163	,2026-02-17 11:06:47
61	,8,	212	,2026-02-17 11:06:53
62	,8,	185	,2026-02-17 11:06:58
63	,8,	230	,2026-02-17 11:07:04
64	,8,	303	,2026-02-17 11:07:17
65	,9	,6	,2026-02-17 11:11:19
66	,9	,2	,2026-02-17 11:11:25
67	,9	,84	,2026-02-17 11:11:30
68	,9	,85	,2026-02-17 11:12:28
69	,9	,27	,2026-02-17 11:14:17
70	,9	,107,2026-02-17 11:14:30
71	,9	,148,2026-02-17 11:14:39
